18:05:43.731 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-xyq/139185719.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.731 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-mlq/134960352.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.731 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-qsq/135298566.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.731 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/chengmai/137267151.html?s=sou_sou_soulb&t=0_1已抓取过，跳过
18:05:43.731 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-lhq/139102066.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.731 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-mlq/139158485.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.732 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou/137637427.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.732 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-lhq/139310008.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.732 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/shanghai-qpq/139305174.html?s=sou_sou_soulb&t=0_1已抓取过，跳过
18:05:43.732 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-lhq/139304127.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.732 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-lhq/139247895.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
